"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Exclude from Simulation","Exclude from Position Files","Footprint","Datasheet"
"Blue1,Green1,Red1","3","R_Potentiometer_Trim","","","","","${EXCLUDE_FROM_POS_FILES}","Potentiometer_THT:Potentiometer_Bourns_3266W_Vertical",""
"D1,D2,D3,D4,D5,D6,D7,D8,D9","9","Inolux_IN-P55TATRGB","","","","","${EXCLUDE_FROM_POS_FILES}","LED_SMD:LED_Inolux_IN-P55TATRGB_PLCC6_5.0x5.5mm_P1.8mm","https://www.inolux-corp.com/datasheet/SMDLED/RGB%20Top%20View/IN-P55TATRGB.pdf"
"J1","1","Conn_01x04","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"P1","1","USB_C_Plug_USB2.0","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-17","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"R1,R3,R4,R6,R7,R9,R10,R12,R13,R15,R16,R18,R19,R21,R22,R24,R25,R27","18","100R","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0603_1608Metric",""
"R2,R5,R8,R11,R14,R17,R20,R23,R26,R28","10","150R","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0603_1608Metric",""
"R29,R30,R31","3","400R","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0603_1608Metric",""
"Status1","1","LED","","","","","${EXCLUDE_FROM_POS_FILES}","LED_SMD:LED_0805_2012Metric",""
